Al_sulfate_mol,Fe_sulfate_mol,Cu_sulfate_mol,Co_sulfate_mol,Ni_sulfate_mol,Mn_sulfate_mol,chem,temp_x,NaOH_stock,NaOH_mole,BattLeachate_volume,SampleID,index,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp_y,Alk,mu,mass_H2O,charge,pct_err,Al,Fe,Cu,Co,Ni,Mn,Na,S,la_H+,la_OH-,la_SO4-2,la_Na+,la_Al+3,la_Fe+3,la_Cu+2,la_Co+2,la_Ni+2,la_Mn+2,FeAl2O4(s),d_FeAl2O4(s),Gibbsite,d_Gibbsite,Fe(OH)3(s),d_Fe(OH)3(s),Cu(OH)2(s),d_Cu(OH)2(s),Co(OH)2(s),d_Co(OH)2(s),Ni(OH)2(s),d_Ni(OH)2(s),Mn(OH)2(s),d_Mn(OH)2(s),si_FeAl2O4(s),si_Gibbsite,si_Fe(OH)3(s),si_Cu(OH)2(s),si_Co(OH)2(s),si_Ni(OH)2(s),si_Mn(OH)2(s),Solution_ID,a_Al3+,m_Al+3,a_Fe2+,m_Fe+2,a_Fe3+,m_Fe+3,a_Cu+,m_Cu+,a_Cu2+,m_Cu+2,a_Ni2+,m_Ni+2,a_Co2+,m_Co+2,a_Co3+,m_Co+3,a_Mn2+,m_Mn+2,a_Mn3+,m_Mn+3,a_Li+,m_Li+,a_Na+,m_Na+,m_AlOH2+,m_Al(OH)2+,m_AlSO4+,m_AlO2-,m_Al(SO4)2-,m_AlSO4+.1,m_FeOH+,m_Fe(OH)2,m_Fe(OH)3-,m_Fe(OH)4-,m_FeSO4+,m_FeSO4,m_CuOH+,m_CuSO4,m_CoOH+,m_CoSO4,m_Co(OH)4-2,m_NiOH+,m_Ni(OH)2,m_NiSO4,m_Ni(OH)3-,m_MnOH+,m_Mn(OH)2,m_Mn(OH)3-,m_Mn(OH)4-2,m_Al2(OH)2+4,m_Al3(OH)4+5,m_Al13O4(OH)24+7,m_Fe2(OH)2+4,m_Fe3(OH)4+5,m_Ni4(OH)4+4,m_Mn2(OH)3+,m_MnO4-,m_MnO4-2,m_H2,m_O2,m_SO4-2,m_HSO4-,m_S2O3-2,m_S2O4-2,m_S2O6-2,m_NaSO4-,m_MnSO4,m_NiSO4.1,m_CoSO4.1,m_CuSO4.1,m_H2O,m_H+,m_OH-,Description
0.1388,0.09479,0.1001,0.0775,0.5521,0.07673,NMC811,25,1,0.222,1,1,1,1,react,1,-99,0,1,4.00408,6.19331,1.0,25.0,-1.6932e-05,2.05497,1.08277,1.6963e-11,7.88594e-10,0.25629,0.087545,0.092474,0.071572,0.50992,0.070866,0.0,1.2168,-4.0041,-10.004,-1.4253,-1000.0,-3.0964,-9.3347,-2.2422,-2.3486,-1.8375,-2.4263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8705,1.1516,-0.1267,-2.5902,-7.4666,-7.1455,-9.7343,1.0,0.00080095,0.098256,0.0033265,0.028205,4.627e-10,5.6762e-08,2.4803e-06,4.2325e-06,0.0057256,0.048547,0.014537,0.12326,0.0044809,0.037993,1e-99,1e-99,0.0037469,0.031769,1.8070999999999998e-22,2.2169e-20,1e-99,1e-99,1e-99,1e-99,1e-99,3.5292e-06,0.081354,1e-99,1e-99,0.081354,1e-99,4.7203e-16,7.980800000000001e-25,1.9114e-15,2.9653e-07,0.024927,1e-99,0.043905,1e-99,0.033578,1.3921e-32,1e-99,1.4271e-12,0.086529,1e-99,1e-99,2.3209e-17,9.8568e-26,1.5345e-34,1e-99,1e-99,1e-99,1.6441e-10,3.0336e-13,6.7174e-16,2.9336e-18,0.0,0.0,3.3513e-24,0.0,0.31844,1e-99,0.0,0.0,1e-99,1e-99,0.014072,0.086529,0.033578,0.043905,55.509,0.00016905,1.6907e-10,Hydrolyzed_metal_sulfate_solution
0.07928,0.02113,0.2755,0.4142,0.67,0.2658,NMC523,25,1,0.3031,1,2,5,4,react,2,-99,0,1,4.16216,6.64703,1.0,25.0,-1.40766e-05,2.67949,1.13209,1.00521e-11,3.36082e-10,0.14005,0.018662,0.24332,0.36587,0.59182,0.23481,0.0,1.6646,-4.1622,-9.8498,-1.3504,-1000.0,-3.4442,-9.6157,-1.8782,-1.6958,-1.8829,-1.9649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0518,1.2664,0.0548,-1.9179,-6.5055,-6.8825,-8.9645,2.0,0.00035961,0.053747,0.00061269,0.0056715,2.4225e-10,3.6207e-08,2.0172e-06,3.5186e-06,0.013237,0.12253,0.013096,0.12123,0.020145,0.18648,1e-99,1e-99,0.010843,0.10037,1.4864999999999999e-21,2.2217e-19,1e-99,1e-99,1e-99,1e-99,1e-99,3.2946e-06,0.044369,1e-99,1e-99,0.044369,1e-99,1.7685e-16,4.359100000000001e-25,4.2326e-15,1.8859e-07,0.005456,1e-99,0.12062,1e-99,0.17939,2.8271e-31,1e-99,2.6152e-12,0.092637,1e-99,1e-99,1.3661e-16,8.4585e-25,2.0059000000000002e-33,1e-99,1e-99,1e-99,1.3023e-10,3.118e-13,2.601e-15,7.285e-17,0.0,0.0,2.0028000000000002e-25,0.0,0.41313,1e-99,0.0,0.0,1e-99,1e-99,0.048392,0.092637,0.17939,0.12062,55.509,0.00012008,2.4649e-10,Hydrolyzed_metal_sulfate_solution
0.06701,0.06999,0.3821,0.08723,0.2729,0.0828,NMC622,25,1,0.3925,1,3,9,7,react,3,-99,0,1,4.11646,6.4946,1.0,25.0,-3.20772e-05,1.74148,1.0508,1.09146e-12,6.03872e-11,0.12753,0.066607,0.36362,0.083012,0.25966,0.0788,0.0,1.043,-4.1165,-9.8913,-1.381,-1000.0,-3.4042,-9.1754,-1.6572,-2.2933,-2.1664,-2.3949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7277,1.1819,0.3707,-1.7798,-7.1859,-7.249,-9.4775,3.0,0.00039429,0.042549,0.0023989,0.019213,6.6773e-10,7.2057e-08,4.7662e-06,8.018e-06,0.022017,0.17634,0.0068172,0.0546,0.0050903,0.04077,1e-99,1e-99,0.0040277,0.032259,3.8874e-22,4.195e-20,1e-99,1e-99,1e-99,1e-99,1e-99,2.8781e-06,0.043723,1e-99,1e-99,0.043723,1e-99,5.72e-16,1.2359e-24,7.6786e-15,4.6719e-07,0.019907,1e-99,0.18697,1e-99,0.042242,4.2179999999999997e-32,1e-99,1.1246e-12,0.044937,1e-99,1e-99,4.1923e-17,2.2753000000000004e-25,4.3998e-34,1e-99,1e-99,1e-99,4.5809e-10,1.8031e-12,7.3041e-17,7.2796e-18,0.0,0.0,4.9876e-25,0.0,0.33311,1e-99,0.0,0.0,1e-99,1e-99,0.016752,0.044937,0.042242,0.18697,55.509,0.00012866,2.1607e-10,Hydrolyzed_metal_sulfate_solution
0.0264,0.02693,0.06397,0.181,0.5233,0.1638,NMC622,25,1,0.4,1,4,13,10,react,4,-99,0,1,4.2988,6.24642,1.0,25.0,-1.0656e-05,1.52556,1.08573,7.00561e-11,4.26321e-09,0.04864,0.024805,0.05892,0.16675,0.48195,0.15084,0.0,0.95622,-4.2988,-9.7082,-1.5003,-1000.0,-3.7277,-9.7642,-2.379,-1.9225,-1.7569,-2.0369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2536,1.4078,0.3313,-2.1353,-6.4488,-6.4733,-8.7533,4.0,0.00018719,0.018185,0.0010949,0.0083692,1.7211e-10,1.672e-08,1.6018e-06,2.6633e-06,0.0041785,0.031939,0.017501,0.13377,0.011954,0.091374,1e-99,1e-99,0.0091845,0.070203,5.0059e-22,4.8631000000000003e-20,1e-99,1e-99,1e-99,1e-99,1e-99,3.1388e-06,0.015589,1e-99,1e-99,0.015589,1e-99,6.0677e-16,1.9755000000000002e-24,1.0566e-14,9.0435e-08,0.0069037,1e-99,0.02696,1e-99,0.075374,5.106300000000001e-31,1e-99,6.7099e-12,0.087654,1e-99,1e-99,2.2218e-16,1.817e-24,5.1719e-33,1e-99,1e-99,1e-99,5.8677e-11,1.2455e-13,1.4216e-14,1.3256e-16,0.0,0.0,6.754e-25,0.0,0.24155,1e-99,0.0,0.0,1e-99,1e-99,0.029024,0.087654,0.075374,0.02696,55.509,8.3566e-05,3.2557e-10,Hydrolyzed_metal_sulfate_solution
0.207,0.00276,0.1401,0.7617,1.355,0.5305,NMC523,25,1,1.084,1,5,17,13,react,5,-99,0,1,4.05923,6.94705,1.0,25.0,-2.94195e-06,4.37058,1.25241,-2.39751e-09,-4.50027e-08,0.33057,0.0022041,0.1119,0.6082,1.0819,0.42361,0.0,2.7237,-4.0592,-9.9593,-1.2976,-1000.0,-3.1709,-10.3,-2.2742,-1.534,-1.7288,-1.7666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3391,1.2112,-0.9578,-2.5328,-6.5626,-6.9474,-8.9851,5.0,0.00067468,0.14104,6.3529e-05,0.00068264,5.0122e-11,1.0478e-08,4.0618e-07,7.3539e-07,0.0053182,0.057146,0.018671,0.20063,0.029238,0.31418,1e-99,1e-99,0.017117,0.18393,4.6826e-21,9.7888e-19,1e-99,1e-99,1e-99,1e-99,1e-99,3.8755e-06,0.097574,1e-99,1e-99,0.097574,1e-99,1.1076e-17,2.2025e-26,3.3165e-16,4.5736e-08,0.00063885,1e-99,0.054726,1e-99,0.29402,1.7379e-31,1e-99,2.2522e-12,0.14914,1e-99,1e-99,1.3027e-16,6.506900000000001e-25,1.3412e-33,1e-99,1e-99,1e-99,6.1146e-12,2.559e-15,7.1195e-15,8.8471e-17,0.0,0.0,8.0804e-26,0.0,0.54156,1e-99,0.0,0.0,1e-99,1e-99,0.08627,0.14914,0.29402,0.054726,55.509,0.00015797,1.9885e-10,Hydrolyzed_metal_sulfate_solution
0.161,0.002462,0.3716,0.4157,1.213,0.38,NMC622,25,1,0.02072,1,6,21,16,react,6,-99,0,1,4.04851,7.20409,1.0,25.0,-4.74888e-06,3.878,1.19068,-7.92804e-11,-1.76068e-09,0.27046,0.0020676,0.31211,0.34912,1.0188,0.31917,0.0,2.4069,-4.0485,-9.9679,-1.33,-1000.0,-3.2228,-10.044,-1.8055,-1.7517,-1.7037,-1.8647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5211,1.1335,-0.7275,-2.0812,-6.7975,-6.9395,-9.1005,6.0,0.00059865,0.11571,6.3398e-05,0.0006579,9.0399e-11,1.7473e-08,6.6139e-07,1.1871e-06,0.015651,0.16242,0.019783,0.20529,0.017712,0.18381,1e-99,1e-99,0.013656,0.14171,6.751399999999999e-21,1.3049e-18,1e-99,1e-99,1e-99,1e-99,1e-99,3.2765e-06,0.079657,1e-99,1e-99,0.079657,1e-99,1.0624e-17,2.0531999999999998e-26,5.4781e-16,7.5896e-08,0.00059171,1e-99,0.14948,1e-99,0.16531,9.392799999999999e-32,1e-99,2.2935e-12,0.14666,1e-99,1e-99,9.9892e-17,4.8491e-25,9.546300000000001e-34,1e-99,1e-99,1e-99,1.663e-11,1.1155e-14,7.2096e-15,5.2598e-17,0.0,0.0,2.599e-26,0.0,0.48542,1e-99,0.0,0.0,1e-99,1e-99,0.063876,0.14666,0.16531,0.14948,55.509,0.00016051,1.9326e-10,Hydrolyzed_metal_sulfate_solution
0.2099,0.05141,0.3503,0.4007,0.9476,0.5441,NMC532,25,1,0.02295,1,7,25,19,react,7,-99,0,1,4.04336,6.49916,1.0,25.0,-2.14237e-05,4.00939,1.16923,1.08184e-10,2.37016e-09,0.35905,0.043969,0.29962,0.34271,0.81047,0.46535,0.0,2.5007,-4.0434,-9.9739,-1.2658,-1000.0,-3.1419,-9.4669,-1.8571,-1.7934,-1.8888,-1.7395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.122,1.1963,-0.1686,-2.145,-6.8513,-7.1367,-8.9874,7.0,0.0007213,0.14253,0.0012134,0.012716,3.4131e-10,6.7442e-08,2.9764e-06,5.3553e-06,0.013895,0.14561,0.012917,0.13537,0.016091,0.16863,1e-99,1e-99,0.018217,0.19091,1.7768e-21,3.5109e-19,1e-99,1e-99,1e-99,1e-99,1e-99,3.8491e-06,0.11153,1e-99,1e-99,0.11153,1e-99,1.9776e-16,3.7784000000000005e-25,1.9613e-15,3.3298e-07,0.013127,1e-99,0.15383,1e-99,0.17409,8.1513e-32,1e-99,1.4566e-12,0.11101,1e-99,1e-99,1.2961e-16,6.2201e-25,1.2166e-33,1e-99,1e-99,1e-99,2.398e-10,6.0385e-13,1.2895e-15,9.0007e-17,0.0,0.0,6.838600000000001e-25,0.0,0.56824,1e-99,0.0,0.0,1e-99,1e-99,0.098779,0.11101,0.17409,0.15383,55.509,0.00016283,1.9106e-10,Hydrolyzed_metal_sulfate_solution
0.1653,0.002507,0.09626,0.09062,0.2812,0.09221,NMC622,25,1,0.162,1,8,29,22,react,8,-99,0,1,3.99299,6.95549,1.0,25.0,-2.78332e-06,1.84675,1.04379,5.03164e-12,2.69336e-10,0.31676,0.0024014,0.092226,0.086815,0.26943,0.088339,0.0,1.0144,-3.993,-10.014,-1.3749,-1000.0,-3.0209,-10.165,-2.2602,-2.2813,-2.1626,-2.3525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3949,1.1978,-0.9858,-2.6277,-7.4188,-7.4902,-9.6801,8.0,0.00095297,0.10767,8.5111e-05,0.00069572,6.8467e-11,7.7354e-09,4.1147e-07,6.9575e-07,0.0054933,0.044903,0.0068763,0.056208,0.005233,0.042775,1e-99,1e-99,0.0044408,0.0363,1.2387e-21,1.3994000000000002e-19,1e-99,1e-99,1e-99,1e-99,1e-99,3.9781e-06,0.10772,1e-99,1e-99,0.10772,1e-99,1.1547e-17,1.8916e-26,2.5619e-16,4.883e-08,0.00071628,1e-99,0.047307,1e-99,0.04404,1.4326999999999999e-32,1e-99,6.4541e-13,0.045967,1e-99,1e-99,2.6299e-17,1.0822e-25,1.6028e-34,1e-99,1e-99,1e-99,2.9732e-12,7.148e-16,2.6555e-17,3.8173e-18,0.0,0.0,1.0545e-25,0.0,0.34478,1e-99,0.0,0.0,1e-99,1e-99,0.018731,0.045967,0.04404,0.047307,55.509,0.00017184,1.6381e-10,Hydrolyzed_metal_sulfate_solution
0.1724,0.02024,0.2786,0.1309,0.3911,0.1239,NMC622,25,1,0.2589,1,9,33,25,react,9,-99,0,1,4.01635,6.69611,1.0,25.0,-1.32298e-05,2.40176,1.06354,7.28317e-11,2.93297e-09,0.32424,0.01903,0.26199,0.12306,0.36771,0.11654,0.0,1.3747,-4.0164,-9.9931,-1.3232,-1000.0,-3.0809,-9.5728,-1.8522,-2.175,-2.1133,-2.2785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4876,1.1999,-0.332,-2.1784,-7.2711,-7.3995,-9.5647,9.0,0.00083005,0.1145,0.00060407,0.0053959,2.6742e-10,3.6889e-08,1.9129e-06,3.307e-06,0.014054,0.12554,0.0077039,0.068816,0.0066838,0.059704,1e-99,1e-99,0.0052658,0.047038,8.083099999999999e-22,1.1150000000000002e-19,1e-99,1e-99,1e-99,1e-99,1e-99,3.8966e-06,0.10805,1e-99,1e-99,0.10805,1e-99,9.0142e-17,1.5834e-25,1.2377e-15,2.1965e-07,0.0057262,1e-99,0.13633,1e-99,0.063358,2.4191999999999998e-32,1e-99,7.9533e-13,0.058008,1e-99,1e-99,3.4301e-17,1.5135e-25,2.5126e-34,1e-99,1e-99,1e-99,7.1146e-11,8.972e-14,7.2184e-17,6.3305e-18,0.0,0.0,3.1267000000000004e-25,0.0,0.42438,1e-99,0.0,0.0,1e-99,1e-99,0.025018,0.058008,0.063358,0.13633,55.509,0.00016649,1.7566e-10,Hydrolyzed_metal_sulfate_solution
0.04808,0.04845,0.1097,0.5225,0.8222,0.3351,NMC523,25,1,0.1158,1,10,37,28,react,10,-99,0,1,4.2767,6.22134,1.0,25.0,-1.50548e-05,2.66032,1.1669,-3.54868e-11,-1.15386e-09,0.082405,0.041524,0.094034,0.44777,0.70463,0.28714,0.0,1.6987,-4.2767,-9.7355,-1.3832,-1000.0,-3.6542,-9.6712,-2.2745,-1.5918,-1.7674,-1.8586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1863,1.3992,0.3422,-2.0856,-6.1729,-6.5385,-8.6297,10.0,0.00022172,0.032967,0.0014371,0.013272,2.1322e-10,3.1703e-08,2.1585e-06,3.7629e-06,0.0053149,0.049085,0.017084,0.15778,0.025597,0.2364,1e-99,1e-99,0.013849,0.1279,7.1247e-22,1.0593e-19,1e-99,1e-99,1e-99,1e-99,1e-99,3.4362e-06,0.025352,1e-99,1e-99,0.025352,1e-99,7.0209e-16,2.2501e-24,1.0666e-14,1.5383e-07,0.011867,1e-99,0.044909,1e-99,0.21136,1.0267e-30,1e-99,5.7742e-12,0.11206,1e-99,1e-99,2.9535e-16,2.3776000000000002e-24,7.3228e-33,1e-99,1e-99,1e-99,1.6919e-10,6.0031e-13,2.1379e-14,2.6156e-16,0.0,0.0,8.393200000000002e-25,0.0,0.3822,1e-99,0.0,0.0,1e-99,1e-99,0.057315,0.11206,0.21136,0.044909,55.509,9.2186e-05,3.2049e-10,Hydrolyzed_metal_sulfate_solution
